Song ID,Chord Length,Rhythm,Lead,Follow,
1,4,W,FALSE,FALSE,
1,4,QHQ,FALSE,FALSE,
1,4,QQQQ,FALSE,FALSE,
1,3,3qqqQ,FALSE,FALSE,3 quarter Triplets
1,1,Q,FALSE,FALSE,
1,2,H,FALSE,FALSE,
1,4,H+Q,FALSE,FALSE,Half Dotted
1,2,3qqq,FALSE,FALSE,
1,2,H-,TRUE,FALSE,
1,2,-H,FALSE,TRUE,
1,4,3qqqQQ,FALSE,FALSE,
1,2,R(Q)Q,FALSE,FALSE,Rest Quarter
2,4,R(Q)QQQ,FALSE,FALSE,
2,2,H-,TRUE,FALSE,
2,2,-QQ,FALSE,TRUE,
2,4,QH+,FALSE,FALSE,
2,4,W,FALSE,FALSE,
2,4,H+Q,FALSE,FALSE,
2,2,H-,TRUE,FALSE,
2,2,-H,FALSE,TRUE,
2,2,QQ-,TRUE,FALSE,
2,2,-H,FALSE,TRUE,
2,2,QQ-,TRUE,FALSE,
2,2,-QQ,FALSE,TRUE,
2,4,HQQ,FALSE,FALSE,
2,4,HH,FALSE,FALSE,
2,2,QQ,FALSE,FALSE,
2,2,H,FALSE,FALSE,
2,2,H-,TRUE,FALSE,
2,2,-QR(Q),FALSE,TRUE,
3,4,3eeeHEE,FALSE,FALSE,
3,4,EQ+-Q+E,FALSE,FALSE,tie dotted quarter notes
3,4,3eeeHEE,FALSE,FALSE,
3,4,HR(Q)R(E)E,FALSE,FALSE,
3,4,EQ+-H,FALSE,FALSE,"eigth, Quarter dotted tied to half"
3,2,EEEE,FALSE,FALSE,
3,2,QEE-,TRUE,FALSE,
3,2,-H,FALSE,TRUE,
3,2,R(Q)R(E),FALSE,FALSE,
3,2,QEE-,TRUE,FALSE,
3,2,-H-,TRUE,TRUE,
3,2,-QQ,FALSE,TRUE,
3,4,HQ+E,FALSE,FALSE,
3,4,QEE-QEE,FALSE,FALSE,
3,4,EQE-EEEE-,TRUE,FALSE,
3,2,-H,FALSE,TRUE,
3,2,R(H),FALSE,FALSE,
3,4,Q+ER(E)QE,FALSE,FALSE,
3,4,EEEER(Q)R(E)E-,TRUE,FALSE,
3,4,-QEEQEE,FALSE,TRUE,
3,4,QEEQEE,FALSE,FALSE,
100,2,EEEE,FALSE,FALSE,
100,2,EQ+,FALSE,FALSE,
100,2,QEE-,TRUE,FALSE,
100,2,-H,FALSE,TRUE,
100,2,QEE-,TRUE,FALSE,
100,2,-QQ,FALSE,TRUE,
100,2,QEE-,TRUE,FALSE,
100,2,QEE,FALSE,TRUE,
100,2,QQ,FALSE,FALSE,
100,2,EEQ,FALSE,FALSE,
100,2,H-,TRUE,FALSE,
100,2,-H,FALSE,TRUE,
100,2,EQE,FALSE,FALSE,
100,2,QEE-,TRUE,FALSE,
100,2,-Q+E,FALSE,TRUE,
100,4,H+R(E)E,FALSE,FALSE,
100,4,W,FALSE,FALSE,
101,4,QQ-Q+E,FALSE,FALSE,
101,2,QQ-,TRUE,FALSE,
101,2,Q+E,FALSE,TRUE,
101,2,EEEE,FALSE,FALSE,
101,4,H+-EE,FALSE,FALSE,
101,2,H-,TRUE,FALSE,
101,2,-QEE,FALSE,TRUE,
101,2,QQ-,TRUE,FALSE,
101,2,-QQ,FALSE,TRUE,
101,4,EE-HQ,FALSE,FALSE,
101,2,QQ-,TRUE,FALSE,
101,2,-QEE,FALSE,TRUE,
101,4,EQ+-Q+E,FALSE,FALSE,
101,2,QQ,FALSE,FALSE,
101,2,Q+E,FALSE,FALSE,
101,4,QH+,FALSE,FALSE,
101,2,H-,TRUE,FALSE,
101,2,-QQ,FALSE,TRUE,
101,4,W,FALSE,FALSE,
101,4,Q+EQQ,FALSE,FALSE,
101,4,EEH+,FALSE,FALSE,
102,2,QEE,FALSE,FALSE,
102,2,EEEE,FALSE,FALSE,
102,2,QEE,FALSE,FALSE,
102,2,Q+E,FALSE,FALSE,
102,2,QQ-,TRUE,FALSE,
102,1,-Q-,TRUE,TRUE,
102,1,-Q,FALSE,TRUE,
102,2,3qqq,FALSE,FALSE,
102,2,QQ,FALSE,FALSE,
102,2,H-,TRUE,FALSE,
102,2,-H,FALSE,TRUE,
102,2,H-,TRUE,FALSE,
102,1,-Q-,TRUE,TRUE,
102,1,-Q,FALSE,TRUE,
102,1,-Q-,TRUE,TRUE,
102,1,-Q,FALSE,TRUE,
102,2,QQ-,TRUE,FALSE,
102,2,-H,FALSE,TRUE,
102,2,QQ-,TRUE,FALSE,
102,2,-QQ,TRUE,TRUE,
103,4,R(Q)R(E)EQEE-,TRUE,FALSE,
103,4,-EQE-EQE-,TRUE,TRUE,
103,4,-W,FALSE,TRUE,
103,4,R(W),FALSE,FALSE,
103,2,R(Q)R(E)E-,TRUE,FALSE,
103,4,-EQE-EEQ-,TRUE,TRUE,
103,4,-ESSH+,FALSE,TRUE,
103,2,R(H)-,TRUE,FALSE,
103,2,R(H),FALSE,TRUE,
103,4,R(Q)R(E)E-,TRUE,FALSE,
103,4,-EQE-EQ+,FALSE,TRUE,
103,4,R(E)QE-EQ+,FALSE,FALSE,
103,4,R(Q)R(E)EEQE-QE_EQ+,FALSE,FALSE,
103,2,EQE-,TRUE,FALSE,
103,2,-EQ+,FALSE,TRUE,
103,4,R(H)R(E)EEE-,TRUE,FALSE,
103,4,-QEE-QR(E)E-,TRUE,TRUE,
103,4,-EEEEQ+E,FALSE,TRUE,
103,4,HR(Q)R(E)E,FALSE,FALSE,
103,4,QEEQEE,FALSE,FALSE,
104,4,H+Q,FALSE,FALSE,
104,2,H-,TRUE,FALSE,
104,2,-H,FALSE,TRUE,
104,2,QQ,FALSE,FALSE,
104,4,QQQQ,FALSE,FALSE,
104,4,HH,FALSE,FALSE,
104,4,HH-,TRUE,FALSE,
105,4,-W-,TRUE,TRUE,
105,4,-H+R(Q),FALSE,TRUE,
105,4,QQQQ,FALSE,FALSE,
105,2,QEE-,TRUE,FALSE,
105,2,-H,FALSE,TRUE,
105,4,EEH+,FALSE,FALSE,
105,2,R(Q)EE,FALSE,FALSE,
105,2,EEEE,FALSE,FALSE,
105,3,Q+EQ-,TRUE,FALSE,
105,1,-Q,FALSE,TRUE,
105,2,R(Q)EE,FALSE,FALSE,
105,3,QQEE-,TRUE,FALSE,
105,1,-EE,FALSE,TRUE,
105,1,EE,FALSE,FALSE,
105,2,H,FALSE,FALSE,
105,1,Q,FALSE,FALSE,
105,2,QEE,FALSE,FALSE,
105,4,Q+EEQ+,FALSE,FALSE,
105,4,QQQQ,FALSE,FALSE,
106,4,H+Q,FALSE,FALSE,
106,4,HH,FALSE,FALSE,
106,4,W-,TRUE,FALSE,
106,4,-W,FALSE,TRUE,
106,4,W-,TRUE,FALSE,
106,4,-H+Q,FALSE,TRUE,
106,4,QQQQ,FALSE,FALSE,
106,4,W-,TRUE,FALSE,
106,4,-HQQ,FALSE,TRUE,
106,4,W-,TRUE,FALSE,
106,4,-Q+EEEEE,FALSE,TRUE,
106,4,W-,TRUE,FALSE,
106,4,-HR(H),FALSE,TRUE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
,,,FALSE,FALSE,
